UNO Synth Pro MIDI Monitor v1.1 State Read
UNO IN: 0: UNO Synth Pro
UNO OUT: 1: UNO Synth Pro
EDITOR OUT/TAP IN: 1: UNO_TAP
EDITOR IN/RETURN OUT: 3: UNO_RETURN
Clock captured: False
Active Sense captured: False
REC	TIME	DIRECTION	TYPE	BYTES	HEX	DECODED
56	6.253558	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 36 4D 41 53 53 00 20 20 20 20 20 20 20 20 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
57	6.281210	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 37 50 55 4C 53 49 4E 47 20 50 41 44 00 20 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
58	6.308822	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 38 43 41 52 56 45 4C 50 41 44 00 20 20 20 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
59	6.335615	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 39 53 59 4E 43 4F 50 48 41 4E 54 00 20 20 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
60	6.368103	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 3A 44 41 46 54 20 46 55 4E 4B 00 20 20 20 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
61	6.401419	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 3B 53 54 45 45 4C 20 44 52 4D 00 20 20 20 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
62	6.427819	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 3C 52 49 54 48 4D 49 4B 20 42 41 53 53 00 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
63	6.453549	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 3D 41 43 48 45 55 41 20 42 41 53 53 00 20 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
64	6.478605	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 3E 48 45 58 41 5F 42 41 53 53 00 20 20 20 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
65	6.504441	UNO→EDITOR	SysEx	43	F0 00 21 1A 02 03 00 24 01 00 3F 54 52 41 50 20 53 59 4E 54 48 00 20 20 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7	SysEx (43 bytes)
